district,soil_ph,rainfall_mm,temp_c,prev_yield,season,crop,yield_t
39,6.67,498.2,27.1,2.41,1,wheat,3.36
29,7.31,487.4,31.5,2.98,2,wheat,4.16
15,7.83,325.2,35.5,1.09,1,wheat,1.33
43,7.55,99.8,16.8,3.23,1,rice,3.3
8,5.74,340.1,31.8,2.54,1,wheat,2.7
21,6.35,36.1,19.3,3.83,1,rice,3.91
39,5.39,15.3,34.7,0.65,0,rice,0.54
19,7.86,128.8,33.8,1.43,1,soybean,1.53
23,6.82,231.3,27.4,2.61,1,wheat,3.44
11,5.69,434.1,31.3,1.54,2,wheat,2.03
11,7.02,363.6,22.2,3.0,2,wheat,3.93
24,6.85,371.4,25.8,3.16,0,wheat,4.2
36,6.07,212.7,33.9,0.86,2,maize,0.76
40,5.34,173.0,25.6,2.3,1,maize,1.82
24,7.01,185.5,23.2,2.28,2,maize,2.48
3,6.56,493.8,26.4,1.79,0,wheat,2.15
22,7.32,20.1,34.0,3.77,2,rice,4.24
2,6.56,433.5,22.7,3.4,2,wheat,4.94
24,7.56,289.3,19.0,2.94,0,wheat,3.47
44,6.66,219.3,31.4,3.0,0,wheat,3.44
30,6.68,362.6,34.0,2.12,1,wheat,2.8
38,7.63,243.3,17.3,3.72,2,wheat,4.46
2,6.21,436.7,20.5,2.93,1,wheat,3.73
21,5.4,450.4,18.3,3.05,2,wheat,3.73
33,5.09,210.9,23.0,3.52,2,maize,3.02
12,7.27,138.4,25.4,1.46,1,maize,1.92
22,6.86,296.2,32.2,3.32,2,wheat,4.16
44,7.11,456.2,30.0,1.18,2,wheat,1.3
25,5.64,105.3,29.3,1.71,2,rice,1.44
49,5.41,311.5,23.1,1.67,0,wheat,1.76
27,5.04,315.8,34.4,3.92,1,wheat,4.1
42,6.05,366.6,25.8,3.5,0,wheat,4.08
28,6.77,65.8,37.5,2.95,1,rice,3.31
16,6.18,357.9,29.6,3.04,1,wheat,3.84
15,6.31,454.5,17.9,2.47,2,wheat,3.09
47,7.71,89.8,30.6,3.81,1,rice,4.04
44,6.04,118.8,22.5,2.24,0,soybean,2.08
3,6.54,485.7,30.8,1.83,0,wheat,2.8
37,7.35,90.5,16.6,1.07,0,rice,1.54
7,6.19,427.2,19.0,3.25,1,wheat,3.85
21,6.87,246.1,34.7,3.07,0,wheat,3.73
9,7.59,123.6,20.2,1.85,1,soybean,2.3
39,7.85,435.4,34.3,0.59,0,wheat,0.84
18,5.44,222.7,21.4,3.44,0,wheat,3.29
4,7.78,257.4,29.8,0.54,1,wheat,0.3
25,6.48,179.6,31.0,2.96,0,maize,3.17
14,5.77,296.5,26.8,3.9,2,wheat,4.35
50,6.38,81.8,22.0,2.03,1,rice,1.93
9,7.94,195.5,19.9,1.32,1,maize,1.49
26,6.48,484.7,15.8,2.97,1,wheat,3.8
2,5.99,129.1,22.0,3.36,2,maize,2.94
20,6.9,328.4,30.0,2.41,1,wheat,3.11
28,5.72,162.6,36.6,3.88,0,maize,3.73
47,5.23,386.7,35.0,0.68,0,wheat,0.68
7,5.39,65.4,32.6,2.27,0,rice,2.07
44,5.38,484.9,33.1,3.01,1,wheat,3.29
8,5.46,226.9,30.3,3.52,0,wheat,3.36
47,5.42,118.0,21.0,1.13,1,soybean,0.9
35,6.92,36.7,35.9,3.3,0,rice,3.57
14,5.55,84.9,30.4,2.43,2,rice,2.38
17,6.04,259.9,27.9,1.89,2,wheat,1.61
36,7.69,168.5,17.6,0.96,2,maize,0.62
50,6.42,414.4,25.3,3.53,2,wheat,4.61
40,7.0,215.4,25.6,1.05,1,wheat,1.3
4,5.52,124.4,34.9,1.58,0,soybean,1.47
2,5.58,308.6,27.6,1.52,2,wheat,1.63
6,5.12,353.4,23.7,3.55,1,wheat,3.59
42,5.51,83.5,37.5,2.85,2,rice,2.76
4,5.84,83.8,17.5,3.29,2,rice,3.44
29,5.53,18.3,24.7,1.38,1,rice,1.35
18,5.27,368.2,16.0,2.69,1,wheat,2.75
26,5.36,331.9,32.0,2.5,0,wheat,2.83
44,6.38,237.3,36.1,3.41,0,wheat,3.92
34,5.62,422.1,21.4,3.67,2,wheat,4.57
10,6.09,402.8,34.7,0.54,2,wheat,0.96
36,6.51,292.7,21.7,2.86,0,wheat,3.18
14,7.07,434.1,35.9,0.68,0,wheat,0.79
31,5.12,102.9,32.3,2.42,1,rice,2.41
48,7.4,56.0,33.5,1.51,0,rice,1.33
15,6.88,134.9,15.4,1.57,0,maize,1.86
8,5.25,28.5,37.1,1.74,2,rice,1.47
14,7.62,265.6,31.7,2.67,0,wheat,3.23
23,7.76,468.3,22.0,1.67,2,wheat,2.2
40,5.18,19.7,34.1,3.06,0,rice,2.37
21,5.83,61.1,21.5,1.92,1,rice,2.12
16,7.42,226.1,35.1,0.74,0,wheat,1.41
45,7.24,466.9,17.6,3.24,0,wheat,4.51
18,5.55,158.1,31.2,1.5,0,maize,1.22
47,5.63,253.6,27.4,2.01,2,wheat,1.56
24,6.11,20.8,17.2,2.9,1,rice,3.16
26,6.45,74.2,20.6,1.66,0,rice,2.01
25,6.85,493.3,15.3,0.7,2,wheat,0.68
45,6.11,482.6,25.8,1.81,1,wheat,1.97
41,6.39,2.5,21.9,3.81,2,rice,3.49
29,7.24,475.9,28.8,2.75,2,wheat,4.07
15,5.11,319.6,21.8,2.85,1,wheat,3.02
45,5.76,434.0,21.9,2.71,0,wheat,3.1
1,7.14,227.4,32.1,1.2,2,wheat,1.55
25,7.69,257.8,16.1,1.96,2,wheat,2.28
7,6.54,244.4,35.8,3.13,0,wheat,3.6
9,6.6,333.4,34.6,0.85,0,wheat,1.27
24,5.32,69.8,30.4,1.47,1,rice,1.13
1,6.34,15.0,28.6,1.47,1,rice,1.74
44,6.6,154.0,35.5,2.01,1,maize,1.84
8,5.73,352.3,19.3,3.93,0,wheat,4.83
24,5.81,100.9,16.8,0.74,2,rice,0.56
11,6.13,336.7,20.5,2.32,2,wheat,2.69
17,5.06,485.0,33.3,1.13,1,wheat,1.28
8,5.97,47.0,15.8,3.9,0,rice,3.92
35,5.63,336.3,28.4,0.9,2,wheat,1.09
35,5.98,221.9,37.9,1.91,1,wheat,1.78
33,5.36,434.1,34.7,3.08,2,wheat,3.5
5,7.67,88.6,27.0,2.97,2,rice,3.29
42,6.78,346.3,16.5,1.98,0,wheat,2.49
39,7.04,419.1,34.1,1.71,0,wheat,2.5
41,7.37,472.3,28.8,1.89,2,wheat,2.38
28,6.5,341.6,17.6,1.42,1,wheat,1.72
7,5.26,248.6,17.2,1.22,0,wheat,1.04
9,6.61,308.9,35.9,2.19,2,wheat,2.66
8,6.76,434.5,30.4,1.44,0,wheat,2.29
12,7.24,285.3,34.1,1.51,0,wheat,2.18
34,6.29,15.2,35.2,2.8,0,rice,3.1
33,5.38,465.5,28.2,3.89,2,wheat,4.45
48,5.85,344.8,26.9,2.61,1,wheat,3.19
23,6.09,338.3,24.9,0.77,1,wheat,0.94
24,6.94,107.8,22.3,0.76,1,rice,0.93
37,6.71,329.4,25.0,3.83,0,wheat,4.89
35,6.07,196.9,32.8,1.54,2,maize,1.82
44,7.96,325.6,28.8,0.82,0,wheat,1.23
40,6.82,53.3,35.5,2.6,1,rice,3.09
22,5.71,328.9,25.2,2.68,1,wheat,2.95
27,5.31,499.7,29.0,2.77,2,wheat,3.28
35,5.46,24.1,29.5,1.44,0,rice,1.42
1,5.74,488.6,28.6,0.55,1,wheat,0.59
35,5.48,203.5,31.2,3.88,2,maize,3.59
37,5.56,435.4,20.5,1.38,0,wheat,1.44
47,5.86,391.2,26.8,2.87,0,wheat,3.5
14,5.52,283.5,17.4,2.97,1,wheat,2.65
3,7.69,369.2,23.8,2.64,1,wheat,3.19
1,5.24,439.3,26.2,1.6,0,wheat,2.21
5,6.57,202.1,30.0,1.45,0,maize,1.69
26,6.23,163.5,36.9,2.59,1,maize,2.76
14,7.95,333.8,28.8,3.53,0,wheat,4.02
39,5.34,403.9,32.1,3.81,1,wheat,4.26
27,6.19,381.1,26.6,0.87,0,wheat,1.34
9,7.91,398.9,29.6,1.04,1,wheat,1.42
15,7.6,217.8,16.6,3.81,2,wheat,4.39
15,7.45,408.9,20.9,3.08,1,wheat,4.42
26,5.77,60.1,23.3,3.59,1,rice,3.33
42,5.51,272.2,25.9,1.21,2,wheat,1.22
13,7.01,2.9,16.0,2.56,0,rice,2.47
32,7.79,162.3,18.2,2.95,2,maize,2.56
39,6.67,183.2,21.4,2.88,1,maize,3.16
49,6.71,198.1,37.3,1.93,0,maize,1.82
32,5.84,347.7,22.6,0.55,2,wheat,0.78
4,7.31,194.3,26.1,2.54,0,maize,2.96
30,5.56,224.3,19.5,1.39,0,wheat,1.36
37,5.97,118.8,29.0,2.08,2,soybean,2.23
23,6.28,186.6,21.5,3.85,0,maize,3.89
39,6.52,113.6,19.8,1.9,2,rice,1.94
45,5.73,36.6,26.9,3.44,1,rice,3.18
15,5.34,301.7,15.1,1.16,0,wheat,1.0
43,6.83,334.1,15.2,2.85,1,wheat,3.61
29,5.87,309.7,20.0,3.92,1,wheat,4.55
36,6.74,231.7,15.8,0.86,0,wheat,0.91
13,5.46,189.9,17.5,0.53,2,maize,0.45
32,6.44,431.7,22.8,2.02,0,wheat,2.48
7,6.6,259.5,33.5,0.82,1,wheat,1.23
22,5.16,239.6,28.2,3.12,1,wheat,2.87
28,6.01,12.8,26.8,3.7,2,rice,3.92
2,5.4,170.6,21.8,2.02,0,maize,1.71
42,5.19,190.1,36.4,1.41,1,maize,0.89
45,7.97,199.4,24.1,2.02,1,maize,1.88
6,5.97,290.1,17.0,3.03,1,wheat,3.19
28,7.43,266.8,29.2,0.53,2,wheat,0.75
28,5.76,304.0,17.6,2.56,1,wheat,2.77
44,7.04,382.4,22.9,2.65,1,wheat,3.68
44,7.28,406.5,26.7,2.73,0,wheat,3.63
20,6.79,359.1,35.1,1.35,0,wheat,1.68
30,6.41,477.8,26.4,3.0,1,wheat,3.91
11,6.24,9.1,31.2,0.82,1,groundnut,0.88
28,6.05,97.9,37.8,1.2,0,rice,1.24
25,7.79,3.8,18.0,3.57,2,rice,3.49
39,7.49,323.7,21.3,3.09,2,wheat,3.8
33,7.9,449.0,24.1,0.55,2,wheat,0.57
1,5.37,121.7,24.7,1.37,2,soybean,1.22
27,7.19,463.5,24.5,1.25,2,wheat,1.83
13,7.82,30.1,35.9,1.45,2,rice,1.27
41,5.54,467.2,31.4,1.37,2,wheat,1.47
3,5.2,175.8,29.0,0.72,2,maize,0.87
39,7.22,50.7,22.1,2.11,0,rice,2.3
6,6.72,242.9,33.9,3.06,2,wheat,3.56
8,7.53,128.4,37.0,2.62,2,soybean,2.63
27,5.42,142.4,33.9,2.86,2,maize,2.53
9,7.39,153.6,15.0,0.78,1,maize,0.56
37,5.6,401.5,29.6,3.83,0,wheat,4.43
33,5.49,269.6,16.2,3.43,0,wheat,3.19
42,5.49,155.7,20.9,3.32,0,maize,2.97
44,7.44,305.2,16.4,3.38,2,wheat,4.4
24,7.0,358.1,28.9,3.76,2,wheat,5.2
15,6.57,136.3,30.8,2.4,1,maize,2.02
32,6.08,206.8,17.6,1.2,0,maize,1.32
32,7.63,60.9,23.8,2.66,2,rice,2.69
24,6.18,90.6,25.5,3.1,0,rice,3.1
41,7.45,340.6,23.5,3.08,1,wheat,3.82
49,6.32,90.7,17.8,2.33,1,rice,2.48
49,6.13,262.6,24.6,0.74,1,wheat,0.73
12,6.39,354.5,32.3,1.8,0,wheat,2.51
39,5.9,53.4,16.6,3.72,2,rice,4.12
2,7.24,283.7,16.8,2.55,2,wheat,2.9
3,6.51,128.3,23.2,2.38,1,maize,2.13
49,5.7,481.5,36.7,1.44,2,wheat,1.82
37,7.7,241.8,30.4,1.79,1,wheat,1.95
49,6.15,403.0,30.6,3.63,0,wheat,4.63
17,6.63,275.1,23.3,2.83,1,wheat,3.62
49,7.72,21.7,28.7,3.26,0,rice,3.48
2,6.87,316.6,15.2,2.09,1,wheat,2.83
2,5.35,475.7,29.6,2.71,2,wheat,3.51
28,7.82,300.8,36.0,1.37,2,wheat,1.28
23,6.88,409.6,29.1,2.97,1,wheat,4.42
37,6.0,442.1,35.1,2.0,2,wheat,2.44
32,5.42,114.0,31.7,2.05,2,soybean,2.08
33,7.38,106.0,17.8,2.77,2,rice,3.0
1,6.86,305.5,35.8,3.78,0,wheat,4.67
19,6.6,205.5,16.5,0.72,2,maize,0.87
2,7.68,419.9,27.3,3.39,0,wheat,4.02
44,7.37,450.0,18.3,1.52,1,wheat,2.3
26,5.46,176.7,15.3,2.05,2,maize,2.01
32,5.94,118.4,24.7,0.58,2,soybean,0.63
6,5.75,390.3,21.8,1.55,2,wheat,1.85
32,7.23,137.4,26.2,2.26,1,maize,2.08
4,5.1,411.3,28.3,0.7,0,wheat,0.89
11,6.71,211.9,16.0,2.22,0,wheat,2.66
17,7.29,333.8,17.8,3.74,2,wheat,4.62
38,7.63,47.8,27.8,0.87,1,rice,0.85
24,6.03,311.9,22.9,3.18,1,wheat,3.63
5,7.46,225.9,31.8,1.93,1,wheat,2.15
34,5.33,293.3,30.0,2.79,1,wheat,2.58
6,7.54,84.0,34.4,1.41,1,rice,1.71
22,5.38,368.4,30.9,1.06,0,wheat,1.11
11,6.19,431.4,24.9,1.06,0,wheat,1.37
48,7.39,108.4,30.5,0.75,0,soybean,0.71
16,5.45,47.9,21.3,1.15,2,rice,1.16
33,5.69,11.8,22.0,2.82,1,rice,2.66
9,7.17,321.0,33.1,3.59,2,wheat,4.88
6,7.16,303.5,25.3,3.35,1,wheat,4.38
16,6.92,273.3,33.4,2.9,0,wheat,3.62
29,7.08,116.0,33.9,0.89,2,soybean,0.88
3,6.63,195.5,34.7,1.51,0,maize,1.72
20,5.76,297.2,36.1,1.58,1,wheat,1.68
36,6.04,248.4,24.9,1.37,1,wheat,1.47
19,5.54,493.9,22.3,2.3,1,wheat,2.77
26,7.73,68.2,28.4,2.37,0,rice,2.45
3,6.75,347.6,23.5,1.75,1,wheat,2.25
19,6.2,202.2,28.8,1.74,0,maize,2.08
20,6.39,214.1,31.2,3.4,2,wheat,3.6
32,7.84,358.8,30.8,3.26,1,wheat,3.8
7,5.46,346.2,23.6,1.58,1,wheat,1.99
41,6.76,495.6,18.8,3.7,1,wheat,5.29
33,6.52,64.2,24.9,3.83,2,rice,4.12
40,6.83,52.1,18.3,1.64,1,rice,2.06
39,5.05,362.2,35.5,1.74,0,wheat,1.51
18,7.62,289.2,23.0,2.27,0,wheat,2.86
40,7.8,137.1,18.6,3.79,1,maize,3.5
1,6.7,39.7,15.6,3.57,1,rice,4.02
11,7.09,42.8,29.9,0.86,2,rice,1.06
28,7.77,447.1,29.6,1.87,2,wheat,2.32
25,7.12,95.9,22.8,2.44,2,rice,3.11
50,5.46,161.7,16.6,2.26,1,maize,1.8
23,6.73,113.3,24.4,1.18,2,soybean,1.41
31,6.82,177.5,22.2,3.51,2,maize,3.88
30,6.27,34.7,30.6,2.87,0,rice,3.24
42,7.21,259.5,28.9,3.43,2,wheat,4.15
35,7.8,33.8,23.4,3.51,0,rice,3.68
7,7.78,400.2,20.0,3.12,0,wheat,3.87
16,6.35,116.9,37.7,2.04,2,soybean,2.7
26,5.34,270.0,25.4,2.64,0,wheat,2.81
48,7.95,440.0,30.8,1.06,1,wheat,1.36
49,7.52,325.4,18.2,2.86,1,wheat,3.61
2,5.37,266.5,26.2,1.13,2,wheat,1.22
1,7.76,162.2,15.6,2.93,1,maize,2.86
48,7.61,166.5,26.6,1.3,0,maize,1.21
12,6.56,334.7,37.2,0.91,1,wheat,1.07
5,6.77,497.1,23.8,1.08,2,wheat,1.54
37,6.2,330.9,15.9,0.51,2,wheat,0.38
32,5.16,278.9,15.7,3.02,0,wheat,3.12
9,6.01,365.3,23.9,3.06,2,wheat,3.5
41,7.41,232.6,18.7,2.3,1,wheat,2.48
35,5.01,30.1,15.5,1.06,2,rice,0.9
19,6.0,281.1,32.4,0.79,0,wheat,0.86
48,6.19,478.8,25.5,0.57,2,wheat,0.81
16,6.61,87.7,21.7,1.08,1,rice,1.12
3,7.76,345.0,35.7,3.62,0,wheat,4.33
20,6.04,100.5,17.7,1.35,1,rice,1.58
24,6.04,267.9,37.0,1.74,0,wheat,2.07
33,7.21,48.3,22.2,0.87,2,rice,1.09
24,6.36,225.2,35.4,1.28,0,wheat,1.45
11,5.67,378.1,28.9,2.32,0,wheat,2.7
49,6.36,173.8,34.0,2.63,2,maize,2.6
8,5.42,332.5,37.6,1.36,1,wheat,1.32
36,5.53,397.7,21.6,0.7,2,wheat,1.09
38,6.5,463.6,37.1,1.87,0,wheat,2.83
40,6.26,117.3,24.0,1.32,2,soybean,1.56
20,7.74,199.7,23.9,1.27,0,maize,1.16
35,6.09,76.2,22.8,3.86,2,rice,4.16
48,6.74,496.2,27.5,2.66,2,wheat,4.05
25,6.9,463.5,18.5,2.45,1,wheat,3.3
35,5.04,270.0,27.7,1.96,0,wheat,2.22
25,6.99,421.0,27.5,2.0,1,wheat,2.49
29,5.53,260.5,32.5,2.39,0,wheat,2.6
18,7.88,311.8,34.2,2.94,2,wheat,3.72
46,5.45,44.6,25.1,2.96,0,rice,2.72
18,6.24,377.6,22.0,1.1,1,wheat,1.34
2,5.26,63.9,21.0,2.25,1,rice,2.19
35,7.99,413.0,19.5,1.94,1,wheat,2.77
16,6.51,391.0,16.3,3.55,0,wheat,4.58
41,6.79,354.4,22.9,2.71,1,wheat,3.42
36,5.2,18.1,21.2,2.36,1,rice,1.96
33,7.25,151.6,37.2,0.9,1,maize,0.59
4,5.63,131.6,27.8,2.62,2,maize,2.39
33,7.69,180.1,23.0,0.91,2,maize,0.78
14,5.62,43.8,28.4,1.68,0,rice,1.55
21,5.57,468.5,18.2,1.0,0,wheat,1.39
48,5.11,276.9,25.2,2.92,1,wheat,2.77
20,6.42,152.8,29.4,1.22,2,maize,1.33
8,6.69,198.5,26.2,1.87,1,maize,1.73
7,5.2,223.6,24.2,3.63,1,wheat,3.63
3,7.33,300.3,37.9,1.22,2,wheat,1.59
17,6.36,257.8,35.2,2.28,2,wheat,2.62
33,6.57,459.7,29.3,1.97,2,wheat,2.75
48,6.32,248.5,28.1,0.56,0,wheat,0.38
12,6.2,496.1,29.3,3.27,0,wheat,4.42
22,6.68,425.7,19.6,0.74,1,wheat,0.98
22,5.47,104.3,24.1,2.16,0,rice,1.87
46,5.55,465.3,15.9,2.46,2,wheat,2.82
30,7.59,58.2,25.9,2.7,2,rice,2.89
38,7.84,408.7,27.5,2.91,0,wheat,3.55
38,6.12,190.3,20.2,1.39,1,maize,0.84
45,5.81,439.0,37.2,0.53,1,wheat,0.86
8,6.93,434.0,35.9,3.03,0,wheat,4.28
27,6.23,403.0,31.6,2.37,1,wheat,2.55
27,5.08,395.0,27.3,3.43,1,wheat,4.06
34,5.47,152.3,35.0,3.37,1,maize,3.07
21,7.15,40.5,18.0,3.45,2,rice,3.8
30,6.98,201.5,33.2,2.2,2,maize,2.2
33,5.08,86.8,17.9,1.67,0,rice,1.6
28,5.67,347.5,33.3,3.27,2,wheat,3.71
47,5.69,173.0,21.3,2.08,1,maize,1.94
33,7.02,487.8,35.2,1.14,2,wheat,1.52
5,5.06,320.5,36.7,3.49,0,wheat,3.71
48,5.31,411.2,18.4,3.59,2,wheat,3.9
19,7.4,66.3,25.6,2.13,1,rice,2.51
4,5.54,431.0,37.6,0.76,1,wheat,0.73
35,6.96,461.4,26.1,1.86,0,wheat,3.23
49,5.71,243.5,34.9,3.31,2,wheat,3.59
17,5.3,303.1,28.5,3.66,2,wheat,4.33
44,5.73,382.4,23.6,1.21,2,wheat,1.57
28,7.17,87.4,21.6,0.73,1,rice,0.74
30,7.57,251.3,19.7,3.57,0,wheat,4.31
29,7.49,199.3,32.5,1.86,2,maize,2.06
46,6.19,73.2,23.9,2.4,1,rice,2.62
6,7.0,183.8,26.8,3.89,1,maize,4.27
35,5.61,34.1,26.3,0.73,1,rice,0.84
41,5.88,12.9,28.3,2.77,2,rice,2.46
37,7.69,67.6,34.9,0.76,2,rice,0.6
24,5.04,481.6,37.6,1.81,2,wheat,1.87
29,5.26,274.8,24.4,3.31,2,wheat,3.33
49,5.62,482.9,34.0,2.02,2,wheat,2.43
46,5.08,216.2,32.6,3.99,2,wheat,3.49
31,5.54,155.9,28.2,2.46,2,maize,2.25
35,6.75,253.1,37.0,1.62,2,wheat,2.02
33,6.26,219.8,19.6,1.27,2,wheat,1.44
21,7.68,52.8,17.5,1.73,1,rice,1.78
32,7.45,320.4,34.6,1.8,2,wheat,2.17
23,6.03,108.0,25.1,0.74,0,rice,0.62
33,5.78,309.8,34.5,1.79,1,wheat,2.17
3,6.14,325.1,35.5,2.12,2,wheat,2.37
18,6.77,76.0,16.4,3.03,0,rice,3.53
25,5.8,30.7,35.3,2.8,2,rice,3.03
42,6.87,390.4,25.3,2.98,0,wheat,4.01
31,6.23,229.9,26.7,0.53,0,wheat,0.78
3,6.66,29.1,29.4,1.26,0,rice,1.48
40,6.31,497.4,36.3,2.82,0,wheat,3.92
46,5.88,28.9,15.4,2.19,1,rice,2.22
24,7.85,347.5,26.0,0.52,1,wheat,0.61
50,7.29,491.8,30.8,3.32,0,wheat,4.78
32,5.42,119.6,31.6,3.2,2,soybean,2.91
47,7.61,71.1,30.9,2.42,0,rice,2.64
22,6.46,60.7,18.1,0.73,1,rice,0.68
23,7.68,151.6,21.9,3.18,2,maize,3.22
2,7.4,50.5,23.3,2.54,1,rice,2.45
27,6.28,346.1,33.5,3.24,1,wheat,4.07
42,5.07,31.1,21.4,3.13,2,rice,2.76
2,5.81,254.7,19.8,3.31,0,wheat,3.58
26,6.62,498.3,37.0,2.31,0,wheat,3.5
17,6.9,407.0,15.2,0.99,0,wheat,1.32
40,5.77,307.6,37.9,2.85,0,wheat,3.2
33,5.42,153.1,30.6,2.67,2,maize,1.88
9,7.5,311.9,34.1,3.1,2,wheat,3.73
43,7.95,263.5,21.8,1.09,2,wheat,1.38
48,6.58,213.0,15.3,1.18,1,wheat,1.09
39,5.52,65.4,32.0,3.62,2,rice,3.49
